Año;Mes;Mes Corto;Mes Numero;Codigo IPRESS;Clinica Descripcion;Region;Provincia;Distrito;Competencia;Cant Atenciones Medicas;Cirugia Mayor Efectiva;Cirugia Menor Efectiva
2026;ABRIL;ABR;4;17676;OftalmoSalud - SJM;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA CENTRO;;;
2026;ABRIL;ABR;4;11167;Oftalmomedic;LIMA;LIMA;CERCADO;LIMA CENTRO;641;66;24
2026;ABRIL;ABR;4;12020;Clinica Oftalmologica Ñahui Salud - Surquillo;LIMA;LIMA;SURQUILLO;LIMA CENTRO;;;
2026;ABRIL;ABR;4;9483;Oculaser SAC;LIMA;LIMA;LIMA;LIMA CENTRO;725;0;131
2026;ABRIL;ABR;4;15927;Clinica de Ojos D'opeluse;LIMA;LIMA;LINCE;LIMA CENTRO;5461;78;29
2026;ABRIL;ABR;4;23852;Oftalmosalud - Los Olivos;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;;;
2026;ABRIL;ABR;4;10739;Clinica Oftalmologica Wong;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;;;
2026;ABRIL;ABR;4;17099;Oftalmologos Contreras C.SCRL;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;;;
2026;ABRIL;ABR;4;30606;Visana Clinica Especializada Oftalmologica;LIMA;LIMA;COMAS;LIMA NORTE;1014;51;1
2026;ABRIL;ABR;4;9505;Oftalmosalud - San Isidro;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;;;
2026;ABRIL;ABR;4;18626;Oftalmica;LIMA;LIMA;SAN BORJA;LIMA CENTRO;2706;197;16
2026;ABRIL;ABR;4;11372;Futuro Vision ;LIMA;LIMA;SAN BORJA;LIMA CENTRO;985;0;65
2026;ABRIL;ABR;4;15716;Clinica Vista;LIMA;LIMA;JESUS MARIA;LIMA CENTRO;;;
2026;ABRIL;ABR;4;20230;Clinica de ojos Global Laser;LIMA;LIMA;PUEBLO LIBRE;LIMA CENTRO;;;
2026;ABRIL;ABR;4;;Clinica OftalmoMédic - Lima Norte;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;586;0;17
2026;MAYO;MAY;5;12429;Clinica Oftalmologica Wong;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;745;;
2026;MAYO;MAY;5;28155;Consultorio Medico Oftalmologico Vista;LIMA;LIMA;COMAS;LIMA NORTE;;;
2026;MAYO;MAY;5;34209;Clinica Oftalmologica Ñahui Salud - Comas;LIMA;LIMA;COMAS;LIMA NORTE;1682;0;49
2026;MAYO;MAY;5;25804;Opero;LIMA;LIMA;CERCADO;LIMA CENTRO;41;2;27
2026;MAYO;MAY;5;22016;Clinica la Luz Oftalmologica;LIMA;LIMA;CERCADO;LIMA CENTRO;1990;17;13
2026;MAYO;MAY;5;20976;Visual Center Clinica de Ojos;LIMA;LIMA;SAN MIGUEL;LIMA CENTRO;1655;44;97
2026;MAYO;MAY;5;11741;Clinica Nortvision;LIMA;LIMA;PUEBLO LIBRE;LIMA CENTRO;367;42;17
2026;MAYO;MAY;5;10669;Clinica Peruana para la Vision;LIMA;LIMA;JESUS MARIA;LIMA CENTRO;;;
2026;MAYO;MAY;5;17703;OPRECE;LIMA;LIMA;MAGDALENA;LIMA CENTRO;;;
2026;MAYO;MAY;5;29299;Mas Vision;LIMA;LIMA;LINCE;LIMA CENTRO;245;4;169
2026;MAYO;MAY;5;11358;Confia Instituto Oftalmologico;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;423;22;42
2026;MAYO;MAY;5;9933;Clinica Oftalmologica Macula D&T ;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;1774;0;102
2026;MAYO;MAY;5;15182;Clinica Optima Vision;LIMA;LIMA;MIRAFLORES;LIMA CENTRO;613;0;10
2026;MAYO;MAY;5;13900;OftalmoSalud - Surco;LIMA;LIMA;SURCO;LIMA CENTRO;508;0;4
2026;MAYO;MAY;5;23741;Clinica Oftalmo Vissum;LIMA;LIMA;SURCO;LIMA CENTRO;337;0;35
2026;MAYO;MAY;5;15461;Vista Salud Centro Oftalmologico;LIMA;LIMA;SURCO;LIMA CENTRO;595;0;18
2026;MAYO;MAY;5;17676;OftalmoSalud - SJM;LIMA;LIMA;SAN JUAN DE MIRAFLORES;LIMA CENTRO;2956;0;52
2026;MAYO;MAY;5;11167;Oftalmomedic;LIMA;LIMA;CERCADO;LIMA CENTRO;688;64;21
2026;MAYO;MAY;5;12020;Clinica Oftalmologica Ñahui Salud - Surquillo;LIMA;LIMA;SURQUILLO;LIMA CENTRO;9169;0;268
2026;MAYO;MAY;5;9483;Oculaser SAC;LIMA;LIMA;LIMA;LIMA CENTRO;696;0;138
2026;MAYO;MAY;5;15927;Clinica de Ojos D'opeluse;LIMA;LIMA;LINCE;LIMA CENTRO;6099;84;25
2026;MAYO;MAY;5;23852;Oftalmosalud - Los Olivos;LIMA;LIMA;LOS OLIVOS;LIMA NORTE;2787;0;37
2026;MAYO;MAY;5;10739;Clinica Oftalmologica Wong;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;2244;81;197
2026;MAYO;MAY;5;17099;Oftalmologos Contreras C.SCRL;LIMA;LIMA;SAN ISIDRO;LIMA CENTRO;218;26;2
